"book_color","book_number","short_name","long_name"
"#ccccff",10,"Gen","Genesis"
"#ccccff",20,"Exo","Exodus"
"#ccccff",30,"Lev","Leviticus"
"#ccccff",40,"Num","Numbers"
"#ccccff",50,"Deu","Deuteronomy"
"#ffcc99",60,"Josh","Joshua"
"#ffcc99",70,"Judg","Judges"
"#ffcc99",80,"Ruth","Ruth"
"#ffcc99",90,"1Sam","1 Samuel"
"#ffcc99",100,"2Sam","2 Samuel"
"#ffcc99",110,"1Kin","1 Kings"
"#ffcc99",120,"2Kin","2 Kings"
"#ffcc99",130,"1Chr","1 Chronicles"
"#ffcc99",140,"2Chr","2 Chronicles"
"#ffcc99",150,"Ezr","Ezra"
"#ffcc99",160,"Neh","Nehemiah"
"#ffcc99",190,"Esth","Esther"
"#66ff99",220,"Job","Job"
"#66ff99",230,"Ps","Psalms"
"#66ff99",240,"Prov","Proverbs"
"#66ff99",250,"Eccl","Ecclesiastes"
"#66ff99",260,"Song","Song of Solomon"
"#ff9fb4",290,"Isa","Isaiah"
"#ff9fb4",300,"Jer","Jeremiah"
"#ff9fb4",310,"Lam","Lamentations"
"#ff9fb4",330,"Ezek","Ezekiel"
"#ff9fb4",340,"Dan","Daniel"
"#ffff99",350,"Hos","Hosea"
"#ffff99",360,"Joel","Joel"
"#ffff99",370,"Am","Amos"
"#ffff99",380,"Oba","Obadiah"
"#ffff99",390,"Jona","Jonah"
"#ffff99",400,"Mic","Micah"
"#ffff99",410,"Nah","Nahum"
"#ffff99",420,"Hab","Habakkuk"
"#ffff99",430,"Zeph","Zephaniah"
"#ffff99",440,"Hag","Haggai"
"#ffff99",450,"Zech","Zechariah"
"#ffff99",460,"Mal","Malachi"
"#ff6600",470,"Mat","Matthew"
"#ff6600",480,"Mar","Mark"
"#ff6600",490,"Luk","Luke"
"#ff6600",500,"John","John"
"#00ffff",510,"Acts","Acts"
"#ffff00",520,"Rom","Romans"
"#ffff00",530,"1Cor","1 Corinthians"
"#ffff00",540,"2Cor","2 Corinthians"
"#ffff00",550,"Gal","Galatians"
"#ffff00",560,"Eph","Ephesians"
"#ffff00",570,"Phil","Philippians"
"#ffff00",580,"Col","Colossians"
"#ffff00",590,"1Ths","1 Thessalonians"
"#ffff00",600,"2Ths","2 Thessalonians"
"#ffff00",610,"1Tim","1 Timothy"
"#ffff00",620,"2Tim","2 Timothy"
"#ffff00",630,"Tit","Titus"
"#ffff00",640,"Phlm","Philemon"
"#ffff00",650,"Heb","Hebrews"
"#00ff00",660,"Jam","James"
"#00ff00",670,"1Pet","1 Peter"
"#00ff00",680,"2Pet","2 Peter"
"#00ff00",690,"1Jn","1 John"
"#00ff00",700,"2Jn","2 John"
"#00ff00",710,"3Jn","3 John"
"#00ff00",720,"Jud","Jude"
"#ff7c80",730,"Rev","Revelation"
"#C0C0C0",165,"2Ezr","2 Ezra"
"#C0C0C0",170,"Tob","Tobit"
"#C0C0C0",180,"Judi","Judith"
"#C0C0C0",462,"1Ma","1 Maccabees"
"#C0C0C0",464,"2Ma","2 Maccabees"
"#C0C0C0",270,"Wis","Wisdom"
"#C0C0C0",280,"Sir","Sirach"
"#C0C0C0",320,"Bar","Baruch"
"#C0C0C0",305,"Azar","Azariah"
"#C0C0C0",325,"Sus","Susanna"
"#C0C0C0",790,"Man","Prayer of Manasseh"
"#C0C0C0",345,"Bel","Bel and Dragon"
"#C0C0C0",315,"Epi","Epistle of Jeremiah"
